merchant_code,active_months,monthly_average_transaction,projectedValue,lastActive
M00001294,2,79749.8500,"$500,000 > $5M",2017-01-26 10:20:52
M00000068,1,164300.0000,None,2015-11-02 09:58:47
M00000373,2,94147.5000,None,2016-05-20 05:35:27
M00001005,4,51044.0500,"<100,000",2017-01-26 07:41:42
M00000085,1,208590.0000,"$100,000 > $500,000",2015-11-06 12:00:08
M00001350,2,111159.1500,"<100,000",2017-01-19 09:49:01
M00000801,9,24984.94555555555555555555556,"$100,000 > $500,000",2017-01-19 10:44:55
M00001024,6,37609.00666666666666666666667,"$100,000 > $500,000",2017-01-26 10:53:46
M00000905,7,35614.91571428571428571428571,"$100,000 > $500,000",2017-01-30 13:03:23
M00000902,7,38634.6300,"$100,000 > $500,000",2017-01-30 12:52:15
M00000663,1,297300.0000,"$100,000 > $500,000",2016-04-30 21:05:19
M00000027,4,75008.5000,None,2016-01-12 13:06:36
M00000395,7,43689.14285714285714285714286,None,2016-09-26 12:20:28
M00000160,9,34144.32111111111111111111111,"$500,000 > $5M",2016-08-25 11:07:51
M00000904,7,47713.12142857142857142857143,"$100,000 > $500,000",2017-01-30 14:37:53
M00000838,4,97617.7025,"$100,000 > $500,000",2016-11-29 10:34:25
M00000004,11,36547.28545454545454545454545,>$10M,2016-08-03 19:48:03
M00000871,4,100857.4750,"$100,000 > $500,000",2017-01-18 10:08:36
M00000075,9,47746.30111111111111111111111,"$500,000 > $5M",2016-10-13 04:33:11
M00000445,10,45360.5800,"$100,000 > $500,000",2016-12-20 04:26:54
M00000010,1,458634.0000,None,2015-11-26 11:53:16
M00000861,5,173735.5480,None,2016-11-15 06:36:17
M00000755,9,116443.3333333333333333333333,"$100,000 > $500,000",2017-01-27 05:26:07
M00000020,4,263034.9075,"$100,000 > $500,000",2016-01-06 11:27:44
M00000055,2,636665.0000,None,2015-11-09 07:34:47
M00001307,3,991000.0000,"<100,000",2017-01-24 11:29:12
M00000213,13,292923.0769230769230769230769,"$100,000 > $500,000",2017-01-11 09:43:49
M00000088,15,394354.2940,>$10M,2017-01-11 10:56:37
